host,states,n_targets,page_types,external_host,http_status,http_version,redirects,final_url,content_type,server,cdn_headers,error,has_robots,soft_404,n_bytes,n_groups,star_disallow,star_allow,blocks_all_star,crawl_delay_star,n_sitemaps,sitemaps,ai_bots_blocked,n_ai_blocked,archive_bots_blocked,tool_bots_blocked,n_targets_disallowed,targets_disallowed
browardvotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://browardvotes.gov/robots.txt,text/plain,nginx,x-cache;x-cache-hits;x-served-by,,true,false,2141,1,35,22,false,,0,,,0,,,0,
clayelections.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://clayelections.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray;x-cache;x-cacheable,,true,false,461,1,7,1,false,10.0,1,https://clayelections.gov/sitemap_index.xml,,0,,,0,
dixievotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://dixievotes.gov/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-ray,,true,false,1859,10,0,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
elections.sumtercountyfl.gov,FL,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://elections.sumtercountyfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
escambiavotes.gov,FL,5,early_voting|homepage|polling|results|voter_registration,false,200,h2,0,https://escambiavotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,232,1,0,1,false,,1,https://myescambia.com/sitemap/sitemap.xml,,0,,,0,
hardeeflvotes.gov,FL,4,early_voting|elections|homepage|polling,false,200,h2,0,https://hardeeflvotes.gov/robots.txt,text/plain,Apache,,,true,false,118,1,1,1,false,,1,https://hardeeflvotes.gov/wp-sitemap.xml,,0,,,0,
holmeselectionsfl.gov,FL,4,elections|homepage|polling|voter_registration,false,200,h2,0,https://holmeselectionsfl.gov/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-ray,,true,false,125,1,1,1,false,,1,https://holmeselectionsfl.gov/wp-sitemap.xml,,0,,,0,
jeffersonvotesfl.gov,FL,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://jeffersonvotesfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1922,10,1,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
lafayettevotes.net,FL,5,early_voting|homepage|polling|results|voter_registration,false,200,h2,0,https://lafayettevotes.net/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-edge-cache;cf-ray,,true,false,119,1,1,1,false,,1,https://lafayettevotes.net/wp-sitemap.xml,,0,,,0,
libertycountyflsoe.gov,FL,5,elections|homepage|polling|results|voter_registration,false,200,h2,0,https://libertycountyflsoe.gov/robots.txt,text/html,cloudflare,cf-apo-via;cf-cache-status;cf-ray,,false,true,0,0,0,0,,,0,,,0,,,0,
