state,county,homepage,kind,owner,link_text,url
TX,anderson,https://www.andersoncountytx.gov,privacy,county,SMS Privacy & Terms,https://www.andersoncountytx.gov/upload/page/0054/docs/SMSPrivacyPolicy.pdf
TX,anderson,https://www.andersoncountytx.gov,accessibility,county,Web Accessibility,https://www.andersoncountytx.gov/page/web-accessibility
TX,andrews,https://www.co.andrews.tx.us/,accessibility,county,Accessibility,https://www.co.andrews.tx.us/accessibility
TX,andrews,https://www.co.andrews.tx.us/,copyright,county,Copyright Notices,https://www.co.andrews.tx.us/copyright
TX,angelina,https://www.angelinacounty.net/,records,county,Submit an Open Records Request,https://www.angelinacounty.net/orrhome
TX,angelina,https://www.angelinacounty.net/,records,county,Submit an Open Records Request,https://www.angelinacounty.net/orrhome/
TX,armstrong,https://www.co.armstrong.tx.us/,records,county,Public Information Request,https://www.co.armstrong.tx.us/page/armstrong.PublicInformationRequest
TX,atascosa,https://co.atascosa.tx.us/,privacy,county,Privacy Policy,https://co.atascosa.tx.us/privacy-policy
TX,atascosa,https://co.atascosa.tx.us/,terms,county,Terms of Use/Disclaimer,https://co.atascosa.tx.us/tou
TX,atascosa,https://co.atascosa.tx.us/,accessibility,county,Accessibility Statement,https://co.atascosa.tx.us/accessibility
TX,austin,https://www.austincounty.com/,records,county,TX Public Information Act,https://www.austincounty.com/upload/page/0043/docs/TEXAS PUBLIC INFORMATION ACT REQUES1 (2).pdf
TX,bailey,https://www.co.bailey.tx.us/,accessibility,county,Accessibility,https://www.co.bailey.tx.us/page/bailey.Accessibility
TX,bandera,https://www.banderacounty.gov/,accessibility,county,Web Accessibility,https://www.banderacounty.gov/page/web-accessibility
TX,bastrop,https://www.bastropcounty.gov/,records,county,Public Information Requests,https://www.bastropcounty.gov/page/co.public_information
TX,bastrop,https://www.bastropcounty.gov/,accessibility,county,Web Accessibility,https://www.bastropcounty.gov/page/web-accessibility
TX,bee,https://www.beecounty.gov/,accessibility,county,Accessibility,https://www.beecounty.gov/site/accessibility
TX,bee,https://www.beecounty.gov/,copyright,county,Copyright Notices,https://www.beecounty.gov/copyright
TX,bee,https://www.beecounty.gov/,privacy,county,Privacy Policy,https://www.beecounty.gov/site/privacy
TX,bell,https://www.bellcountytx.com/,disclaimer,county,Disclaimer,https://www.bellcountytx.com/disclaimer/index.php
TX,bexar,https://www.bexar.org/,accessibility,county,Accessibility Information,https://www.bexar.org/3859/Accessibility-RANDOM
TX,bexar,https://www.bexar.org/,records,county,Open Records Requests,https://www.bexar.org/3500/Public-Records-RANDOM
TX,bexar,https://www.bexar.org/,records,county,open records request portal,https://www.bexar.org/openrecords
TX,bexar,https://www.bexar.org/,accessibility,county,Accessibility,https://www.bexar.org/accessibility
TX,bexar,https://www.bexar.org/,records,county,Open Records Request,https://www.bexar.org/3500
TX,bexar,https://www.bexar.org/,privacy,county,Privacy Policy,https://www.bexar.org/411/Privacy-Policy
TX,blanco,https://www.blancocountytexas.gov,records,county,Public Information Request,https://www.blancocountytexas.gov/page/publicinformationrequest
TX,blanco,https://www.blancocountytexas.gov,accessibility,county,Web Accessibility,https://www.blancocountytexas.gov/page/web-accessibility
TX,borden,https://www.co.borden.tx.us/,disclaimer,county,Disclaimer,https://www.co.borden.tx.us/page/web-disclaimer
TX,borden,https://www.co.borden.tx.us/,accessibility,county,Web Accessibility,https://www.co.borden.tx.us/page/web-accessibility
TX,bosque,https://www.bosquecounty.gov/,accessibility,county,Accessibility,https://www.bosquecounty.gov/site/accessibility
TX,bosque,https://www.bosquecounty.gov/,copyright,county,Copyright Notices,https://www.bosquecounty.gov/copyright
TX,bosque,https://www.bosquecounty.gov/,privacy,county,Privacy Policy,https://www.bosquecounty.gov/site/privacy
TX,bowie,https://www.bowiecounty.org,accessibility,county,Accessibility,https://www.bowiecounty.org/site/accessibility
TX,bowie,https://www.bowiecounty.org,copyright,county,Copyright Notices,https://www.bowiecounty.org/site/copyright
TX,bowie,https://www.bowiecounty.org,privacy,county,Privacy Policy,https://www.bowiecounty.org/site/privacy
TX,brazoria,https://www.brazoriacountytx.gov/,privacy,county,Privacy Policy,https://www.brazoriacountytx.gov/about-us/privacy-policy
TX,brazoria,https://www.brazoriacountytx.gov/,terms,county,Terms of Service,https://www.brazoriacountytx.gov/about-us/terms-of-service
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Request,https://www.brazoriacountytx.gov/departments/constables-office/public-information-request
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Request,https://www.brazoriacountytx.gov/departments/district-attorney/public-information-request
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Request,https://www.brazoriacountytx.gov/departments/fire-marshal/public-information-request
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Requests,https://www.brazoriacountytx.gov/departments/sheriff-s-office/public-information-requests-2098
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Requests,https://www.brazoriacountytx.gov/departments/tax-office/public-information-requests
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Request,https://www.brazoriacountytx.gov/departments/treasurer-s-office/public-information-request
TX,brazoria,https://www.brazoriacountytx.gov/,records,county,Public Information Request,https://www.brazoriacountytx.gov/how-do-i/obtain/public-information-request
TX,brazoria,https://www.brazoriacountytx.gov/,disclaimer,county,Legal Notices,https://www.brazoriacountytx.gov/departments/legal-notices
TX,brazos,https://www.brazoscountytx.gov/,records,county,Open Records Requests,https://www.brazoscountytx.gov/237/Public-Records
TX,brazos,https://www.brazoscountytx.gov/,accessibility,county,Accessibility,https://www.brazoscountytx.gov/accessibility
TX,brazos,https://www.brazoscountytx.gov/,copyright,county,Copyright Notices,https://www.brazoscountytx.gov/copyright
TX,brazos,https://www.brazoscountytx.gov/,privacy,county,Privacy Policy,http://brazoscountytx.gov/394/Privacy-Policy
TX,brewster,https://www.brewstercounty.gov/,records,county,Public Information Request,https://www.brewstercounty.gov/page/public.information
TX,brewster,https://www.brewstercounty.gov/,accessibility,county,Web Accessibility,https://www.brewstercounty.gov/page/web-accessibility
TX,brown,https://www.browncountytx.gov/,accessibility,county,Accessibility,https://www.browncountytx.gov/page/brown.Accessibility
TX,burleson,https://www.burlesoncountytx.gov,records,county,Make an Open Records Request,https://www.burlesoncountytx.gov/upload/shared/Public Information Request Form.pdf
TX,burleson,https://www.burlesoncountytx.gov,records,county,Public Information Request Form.pdf,https://www.burlesoncountytx.gov/page/open/1942/0/Public%20Information%20Request%20Form.pdf
TX,burleson,https://www.burlesoncountytx.gov,accessibility,county,Web Accessability,https://www.burlesoncountytx.gov/page/web-accessibility
TX,burnet,https://www.burnetcountytexas.org/,records,county,Public Information Request,https://www.burnetcountytexas.org/1375/Public-RANDOM-Request
TX,burnet,https://www.burnetcountytexas.org/,accessibility,county,Accessibility,https://www.burnetcountytexas.org/site/accessibility
TX,burnet,https://www.burnetcountytexas.org/,copyright,county,Copyright Notices,https://www.burnetcountytexas.org/site/copyright
TX,burnet,https://www.burnetcountytexas.org/,privacy,county,Privacy Policy,https://www.burnetcountytexas.org/site/privacy
TX,caldwell,https://www.co.caldwell.tx.us/,records,county,Public Information Request,https://www.co.caldwell.tx.us/page/Public.Information.Request
TX,caldwell,https://www.co.caldwell.tx.us/,accessibility,county,Web Accessibility,https://www.co.caldwell.tx.us/page/web-accessibility
TX,calhoun,https://www.calhouncotx.org/,privacy,county,Privacy Policy,https://www.calhouncotx.org/privacy-policy-2/
TX,cameron,https://www.cameroncountytx.gov/,records,other-host,Public Information Request,https://cameroncountytx.nextrequest.com/
TX,cameron,https://www.cameroncountytx.gov/,accessibility,county,Web Accessibility,https://www.cameroncountytx.gov/web-accessibility/
TX,camp,https://www.co.camp.tx.us/,accessibility,county,Accessibility,https://www.co.camp.tx.us/page/camp.Accessibility
TX,castro,https://www.co.castro.tx.us/,accessibility,county,Accessibility,https://www.co.castro.tx.us/page/castro.Accessibility
TX,chambers,https://www.chamberscountytx.gov/,accessibility,county,Accessibility,https://www.chamberscountytx.gov/accessibility
TX,chambers,https://www.chamberscountytx.gov/,copyright,county,Copyright Notices,https://www.chamberscountytx.gov/copyright
TX,chambers,https://www.chamberscountytx.gov/,privacy,county,Privacy Policy,https://www.chamberscountytx.gov/privacy
TX,clay,https://www.claycountytx.net/,disclaimer,county,LEGAL NOTICE,https://www.claycountytx.net/legal-notice
TX,clay,https://www.claycountytx.net/,records,county,Open Records Requests,https://www.claycountytx.net/_files/ugd/0fab6b_a4a59f0d087d4223b711e9c9bbb1b81c.pdf
TX,cochran,https://www.co.cochran.tx.us/,records,county,Open Records Request Form,https://www.co.cochran.tx.us/upload/page/1477/Open Records Requests ltr_website.pdf
TX,coleman,https://www.colemancounty.gov,records,county,Public Information Request Form,https://www.colemancounty.gov/upload/page/0054/docs/Public-RANDOM-Request-Form-10-01-19.pdf
TX,coleman,https://www.colemancounty.gov,accessibility,county,Web Accessibility,https://www.colemancounty.gov/page/web-accessibility
TX,coleman,https://www.colemancounty.gov,disclaimer,county,Disclaimer,https://www.colemancounty.gov/page/web-disclaimer
TX,collin,https://www.collincountytx.gov/,records,county,Open Records,https://www.collincountytx.gov/Public-RANDOM/open-records-requests
TX,collin,https://www.collincountytx.gov/,privacy,county,Privacy & Accessibility,https://www.collincountytx.gov/privacy
TX,colorado,https://www.co.colorado.tx.us/,accessibility,county,Accessibility Comments/Requests,https://www.co.colorado.tx.us/page/Colorado.Elections_Accessibility Comments Requests
TX,colorado,https://www.co.colorado.tx.us/,records,county,Texas Public Information Act,https://www.co.colorado.tx.us/page/colorado.PublicInformationRequest
TX,colorado,https://www.co.colorado.tx.us/,accessibility,county,Accessibility,https://www.co.colorado.tx.us/upload/template/0246/Web Accessibility Procedures_11-12-24.pdf
TX,comal,https://www.comalcounty.gov,accessibility,county,Accessibility,https://www.comalcounty.gov/site/accessibility
TX,comal,https://www.comalcounty.gov,copyright,county,Copyright Notices,https://www.comalcounty.gov/copyright
TX,comal,https://www.comalcounty.gov,privacy,county,Privacy Policy,https://www.comalcounty.gov/site/privacy
TX,comanche,https://www.comanchecountytx.gov/,accessibility,county,Accessibility,https://www.comanchecountytx.gov/site/accessibility
TX,comanche,https://www.comanchecountytx.gov/,copyright,county,Copyright Notices,https://www.comanchecountytx.gov/copyright
TX,concho,https://www.co.concho.tx.us/,records,county,Public Information Requests,https://www.co.concho.tx.us/page/concho.PublicInformationRequests
TX,concho,https://www.co.concho.tx.us/,accessibility,county,Accessibility,https://www.co.concho.tx.us/page/concho.Accessibility
TX,cooke,https://www.co.cooke.tx.us/,records,county,Open Records,https://www.co.cooke.tx.us/page/cooke.OpenRecords
TX,cooke,https://www.co.cooke.tx.us/,accessibility,county,Accessibility,https://www.co.cooke.tx.us/page/cooke.Accessibility
TX,cottle,https://www.cottlecountytx.gov,disclaimer,county,Disclaimer,https://www.cottlecountytx.gov/page/web-disclaimer
TX,cottle,https://www.cottlecountytx.gov,accessibility,county,Web Accessibility,https://www.cottlecountytx.gov/page/web-accessibility
TX,crane,https://www.co.crane.tx.us/,records,county,Public Information Request,https://www.co.crane.tx.us/upload/page/0594/docs/Pub%20Info/Public%20Information%20Requests.docx
TX,crockett,https://www.co.crockett.tx.us/,accessibility,county,Accessibility,https://www.co.crockett.tx.us/page/crockett.Accessibility
TX,culberson,https://www.co.culberson.tx.us/,accessibility,county,Web Accessibility,https://www.co.culberson.tx.us/page/web-accessibility
TX,dallas,https://www.dallascounty.org/,privacy,county,Chief Privacy Officer,https://www.dallascounty.org/departments/cpo/
TX,dallas,https://www.dallascounty.org/,disclaimer,county,Legal Notices,https://www.dallascounty.org/government/county-clerk/administration/official-and-legal-notices.php
TX,dallas,https://www.dallascounty.org/,privacy,county,Privacy Policy,https://www.dallascounty.org/about-us/privacy-policy/
TX,dawson,https://www.co.dawson.tx.us/,records,county,Open Records Act/Texas Public Information Act,https://www.co.dawson.tx.us/upload/page/1570/docs/Open_records_act.pdf
TX,deaf_smith,https://www.co.deaf-smith.tx.us/,accessibility,county,Accessibility,https://www.co.deaf-smith.tx.us/page/deafsmith.Accessibility
TX,delta,https://www.deltacountytx.com/,records,county,Open Records Requests,https://www.deltacountytx.com/sheriffs-office/page/open-records-requests
TX,delta,https://www.deltacountytx.com/,records,county,Public Information Act Requests,https://www.deltacountytx.com/home-page/page/public-information-act-requests
TX,denton,https://www.dentoncounty.gov,records,other-host,Documents Under the Public Information Act,https://www.texasattorneygeneral.gov/open-government/office-attorney-general-and-public-information-act
TX,denton,https://www.dentoncounty.gov,accessibility,county,Accessibility,https://www.dentoncounty.gov/accessibility
TX,denton,https://www.dentoncounty.gov,copyright,county,Copyright Notices,https://www.dentoncounty.gov/copyright
TX,denton,https://www.dentoncounty.gov,privacy,county,Privacy Policy,https://www.dentoncounty.gov/privacy
TX,dewitt,https://www.co.dewitt.tx.us/,accessibility,county,Accessibility,https://www.co.dewitt.tx.us/page/dewitt.Accessibility
TX,dickens,https://www.co.dickens.tx.us/,records,county,Public Information Act,https://www.co.dickens.tx.us/page/dickens.PublicInformation
TX,donley,https://www.co.donley.tx.us/,records,county,Open Records Requests,https://www.co.donley.tx.us/page/Open.Records
