state,county,kind,owner,link_text,url,final_url,http_status,error,is_pdf,n_chars,anti_scraping,anti_scraping_quote,no_bulk_download,no_bulk_download_quote,commercial_use,commercial_use_quote,rate_limit,rate_limit_quote,permission_required,permission_required_quote,ai_training,ai_training_quote
TX,atascosa,terms,county,Terms of Use/Disclaimer,https://co.atascosa.tx.us/tou,https://co.atascosa.tx.us/tou/,200,,false,2762,false,,false,,false,,false,,false,,false,
TX,bell,disclaimer,county,Disclaimer,https://www.bellcountytx.com/disclaimer/index.php,https://www.bellcountytx.com/disclaimer/index.php,200,,false,4004,false,,false,,false,,false,,true,"It is strictly prohibited for anyone to use the Bell County Seal or any other official logo on the Bell County web site to imply an official endorsement, recommendation, partnership or other relationship with Bell County without the express written consent of Bell County.",false,
TX,borden,disclaimer,county,Disclaimer,https://www.co.borden.tx.us/page/web-disclaimer,https://www.co.borden.tx.us/page/web-disclaimer,200,,false,2501,false,,false,,false,,false,,false,,false,
TX,brazoria,terms,county,Terms of Service,https://www.brazoriacountytx.gov/about-us/terms-of-service,https://www.brazoriacountytx.gov/about-us/terms-of-service,200,,false,200,false,,false,,false,,false,,false,,false,
TX,brazoria,disclaimer,county,Legal Notices,https://www.brazoriacountytx.gov/departments/legal-notices,https://www.brazoriacountytx.gov/departments/legal-notices,200,,false,1548,false,,false,,false,,false,,false,,false,
TX,clay,disclaimer,county,LEGAL NOTICE,https://www.claycountytx.net/legal-notice,https://www.claycountytx.net/legal-notice,200,,false,494,false,,false,,false,,false,,false,,false,
TX,coleman,disclaimer,county,Disclaimer,https://www.colemancounty.gov/page/web-disclaimer,https://www.colemancounty.gov/page/web-disclaimer,200,,false,2523,false,,false,,false,,false,,false,,false,
TX,cottle,disclaimer,county,Disclaimer,https://www.cottlecountytx.gov/page/web-disclaimer,https://www.cottlecountytx.gov/page/web-disclaimer,200,,false,2526,false,,false,,false,,false,,false,,false,
TX,dallas,disclaimer,county,Legal Notices,https://www.dallascounty.org/government/county-clerk/administration/official-and-legal-notices.php,https://www.dallascounty.org/government/county-clerk/administration/official-and-legal-notices.php,200,,false,6227,false,,false,,false,,false,,false,,false,
TX,donley,disclaimer,county,Disclaimer,https://www.co.donley.tx.us/page/web-disclaimer,https://www.co.donley.tx.us/page/web-disclaimer,200,,false,2518,false,,false,,false,,false,,false,,false,
TX,edwards,disclaimer,county,Disclaimer,https://www.co.edwards.tx.us/page/web-disclaimer,https://www.co.edwards.tx.us/page/web-disclaimer,200,,false,2534,false,,false,,false,,false,,false,,false,
TX,foard,disclaimer,county,Disclaimer,https://www.foardcounty.texas.gov/page/Disclaimer,https://www.foardcounty.texas.gov/page/Disclaimer,200,,false,2499,false,,false,,false,,false,,false,,false,
TX,fort_bend,disclaimer,county,Disclaimers,https://www.fortbendcountytx.gov/your-county/about-us/disclaimers,https://www.fortbendcountytx.gov/your-county/about-us/disclaimers,200,,false,7171,false,,false,,true,"To obtain permission to reproduce the information (text or graphics) contained on the Fort Bend County website for any commercial purpose, submit the specifics of your request in writing to: Fort Bend County Information Technology Department ATTN: Webmaster 500 Liberty St.",false,,false,,false,
TX,fort_bend,disclaimer,county,Legal Notices,https://www.fortbendcountytx.gov/your-county/legal-notices,https://www.fortbendcountytx.gov/your-county/legal-notices,200,,false,661,false,,false,,false,,false,,false,,false,
TX,glasscock,disclaimer,county,Disclaimer,https://www.co.glasscock.tx.us/page/web-disclaimer,https://www.co.glasscock.tx.us/page/web-disclaimer,200,,false,2528,false,,false,,false,,false,,false,,false,
TX,hale,disclaimer,county,Disclaimer,https://www.halecounty.org/disclaimer/index.php,https://www.halecounty.org/disclaimer/index.php,200,,false,1160,false,,false,,false,,false,,false,,false,
TX,hardin,disclaimer,county,Disclaimer,https://www.hardincountytx.gov/page/Disclaimer,https://www.hardincountytx.gov/page/Disclaimer,200,,false,2509,false,,false,,false,,false,,false,,false,
TX,harrison,disclaimer,county,Disclaimer,https://www.harrisoncountytexas.gov/page/web-disclaimer,https://www.harrisoncountytexas.gov/page/web-disclaimer,200,,false,2543,false,,false,,false,,false,,false,,false,
TX,hartley,disclaimer,county,Legal Notices,https://www.co.hartley.tx.us/page/hartley.County.News,https://www.co.hartley.tx.us/page/hartley.County.News,200,,false,390,false,,false,,false,,false,,false,,false,
TX,hockley,disclaimer,county,Disclaimer,https://www.co.hockley.tx.us/page/web-disclaimer,https://www.co.hockley.tx.us/page/web-disclaimer,200,,false,2509,false,,false,,false,,false,,false,,false,
TX,hudspeth,disclaimer,county,Disclaimer,https://www.co.hudspeth.tx.us/page/web-disclaimer,https://www.co.hudspeth.tx.us/page/web-disclaimer,200,,false,2527,false,,false,,false,,false,,false,,false,
